tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931860728369336320,Andy_Burton,73293,2017-11-18 12:24:45,Well this certainly say it all about what we should do in #Brexit terms. Stick to what you said #remoaners Let's... https://t.co/mt5jLo7eVn,Facebook,0,0,"Grimsby, England"
931860710308630528,Darth_Marenghi,150,2017-11-18 12:24:41,"RT @SKZCartoons: ""Away (with the fairies) Day""

THAT DAVID DAVIS #BREXIT CONVERSATION IN FULL

#StopBrexit https://t.co/PRLst8xk73",Twitter for Android,0,437,
931860695355936768,_TOUGH_GIRL,7614,2017-11-18 12:24:37,"RT @joymwhyte: @RachelCrasnowQC EU principles provide a legal framework for ensuring pay equality, and non-discrimination. #brexit threaten…",Twitter for iPhone,0,1,"England, United Kingdom"
931860668659240960,RidleyNoah1,696,2017-11-18 12:24:31,@KateHoeyMP @campaignforleo @DavidDavisMP @EU_Commission Ive a better idea - why dont ye just all pack up and leave… https://t.co/MBwRsgDWdb,Twitter Web Client,0,0,"Dublin City, Ireland"
931860649424154625,Reform_Together,123,2017-11-18 12:24:26,@KateHoeyMP @campaignforleo @DavidDavisMP @EU_Commission If we leave tgere will have to be hard border. I fear for… https://t.co/3Fkouvon6z,Twitter for Android,0,0,
931860646320328704,robertpye,1313,2017-11-18 12:24:25,"A picture tells 1,000 words: why getting #Brexit right matters. Imports and exports mapped from MIT https://t.co/qQGaHT2UnL",Twitter Web Client,0,0,"Surrey, UK. England"
931860643786915840,SueKilcoyne,300,2017-11-18 12:24:25,"The Tory party is in a mess, but Labour are not gaining ground.  Why are they not higher in polls? My guess is support for #brexit.",Twitter for Android,0,0,Huddersfield
931860642591539200,PhilipCJames,1790,2017-11-18 12:24:24,"@ProfMarkElliott It's #TheresaMay's Ulysses moment.

She's asking her ramshackle crew of tax-dodge-encouraging pira… https://t.co/MTXCv3IkIU",Twitter Web Client,0,0,"Bath, Somerset"
931860636946124800,BrexitLondon,4528,2017-11-18 12:24:23,"Sir Michael #Caine, the acclaimed #Actor (pictured in the Leave.EU poster below), used to think Luxembourg was a ra… https://t.co/Sm7NmqiKMn",Twitter Web Client,0,0,"London, UK"
931860636119830528,RebeccaMEGill,743,2017-11-18 12:24:23,Brilliant to hear @RachelCrasnowQC setting out ALL the ways #Brexit will damage women’s employment rights at… https://t.co/9baA81397K,Twitter for iPhone,0,0,london town
