tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931889510165700608,2351onthelist,4656,2017-11-18 14:19:07,RT @ProfPaulWelfens: @thetimes Disorderly #EUref - #Cameron did not include the key info from #UK #Treasury analysis finding(#BREXIT=-10% i…,Twitter for iPad,0,1,Edinburgh
931889506978074624,Col_Sandurz,50,2017-11-18 14:19:06,"And now a word from those brave folks who brought you #Brexit

#Brexiteer #Brexshit https://t.co/URYMrbEuxy",Twitter for Android,0,0,Druidia
931889490481655815,zlando,27816,2017-11-18 14:19:02,"Skate boards can be dangerous.
So is allowing people like this into your country!
#Brexit
#MAGA https://t.co/9wSP1wjuO3 1510988682",Zlando,0,0,"Jerusalem, Israel"
931889475822555136,clarecorbould,1524,2017-11-18 14:18:59,"Good reporting. ""Lord Adonis is not sure how #Brexit might be reversed. He needs 20 to 30 Conservative MPs deciding… https://t.co/LbosoIZa1b",Twitter Web Client,0,0,"Melbourne, Australia"
931889428385222656,MPP76420472,523,2017-11-18 14:18:48,RT @thatginamiller: There have been far too many Breaches of the Ministerial Code over #Brexit.  People deserve truth from the #MPs they el…,Twitter for iPhone,0,118,
931889402925678593,shaistaAziz,8194,2017-11-18 14:18:41,.@julie4nw says anti #austerity politics is gaining traction in Europe and says the government will face more legal… https://t.co/YC6795tfsl,Twitter for iPhone,0,1,"Oxford, England"
931889393828319232,roshbeth,1700,2017-11-18 14:18:39,"@Flynnsenior Me too. Certainly find the Irish far more politically informed than people of any part of UK, save Sco… https://t.co/OpEwj8lNRf",Twitter for Android,0,0,... #CitizenOfTheWorld 🇪🇺
931889388631527425,hqbinders,240,2017-11-18 14:18:38,RT @thatginamiller: There have been far too many Breaches of the Ministerial Code over #Brexit.  People deserve truth from the #MPs they el…,Twitter for Android,0,118,"Hertfordshire, UK."
931889374760980481,ChantalBB,636,2017-11-18 14:18:35,"RT @MollyMEP: US to fight UK at WTO if it adopts EU-style approach to crop protection rules: classic example of #Brexit as Trojan horse, in…",Twitter for Android,0,47,Ipswich
931889371527213056,FESMontemaggi,1492,2017-11-18 14:18:34,Vegetarians &amp; Carnivorous please sign @ciwf petition to retain EU legal recognition of animals as sentient beings a… https://t.co/fC5XoX3WxO,Twitter Web Client,0,0,"Cardiff, UK"
931889358755586048,andymoz78,7303,2017-11-18 14:18:31,"RT @milneorchid: The hubris of #brexit, vs reality

#StopBrexitHour #MayDUP #StopBrexit #DavidDavis #Remain #Brexitshambles #EU #leave #Peo…",Twitter for iPhone,0,84,"Cambridge, England"
931889348735365121,glutenfree_tom,128,2017-11-18 14:18:29,Why these dicks shouldn't be in charge #toriesout #tories #brexitshambles #brexit #BrexitReality #Homeless… https://t.co/p7PhR1EkiG,Twitter for Android,0,0,"England, United Kingdom"
931889347376435201,laquamariner,530,2017-11-18 14:18:28,@BJ_Gardener @ConHome Well the @dailytelegraph seems bent on destroying this #Tory government which will effectively end #Brexit hopes.,Twitter for Windows Phone,0,0,
931889326333612032,Neilovichi,3114,2017-11-18 14:18:23,RT @thatginamiller: There have been far too many Breaches of the Ministerial Code over #Brexit.  People deserve truth from the #MPs they el…,Twitter Web Client,0,118,London
931889304401600512,LibertyB0t,1352,2017-11-18 14:18:18,RT @JamesDalton___: Very interesting. #democracy #brexit #liberty #accountability https://t.co/U2JTidHvVX,LibertyB0t,0,1,United States
931889302056898562,gedleigh,645,2017-11-18 14:18:17,"RT @MarketingCentr: #GDPR, #Brexit and the onward march or mobile search. Here’s what our #marketing directors are preparing for 2018: http…",Twitter for iPhone,0,4,"Ramsbottom, England"
931889274496176129,freedoms_sword,1140,2017-11-18 14:18:11,"@GrahameLucas #Brexit will happen. Irish citizens should be allowed to travel freely into UK, but not citizens of other nations.",TweetCaster for Android,0,0,London-Sydney (USA at moment)
931889253109452800,gprevide,163,2017-11-18 14:18:06,RT @Doozy_45: BREXIT NEWS ROUND-UP: EU leaders ratchet up pressure on May / #EU #Brexit #StopBrexit https://t.co/t9Q6W8IGm2 via @MichaelLCr…,Twitter Lite,0,1,London
931889185996333056,mikedisbury,533,2017-11-18 14:17:50,RT @AngusRobertson: Taoiseach Leo Varadkar vows to block trade talks if Theresa May fails to explain border plans by next month #Brexit 🇨🇮…,Twitter for Android,0,452,based in Edinburgh
931889177830010880,RaymondGibbs19,148,2017-11-18 14:17:48,"RT @MollyMEP: US to fight UK at WTO if it adopts EU-style approach to crop protection rules: classic example of #Brexit as Trojan horse, in…",Twitter for iPhone,0,47,
931889169579827202,BrimhamG,655,2017-11-18 14:17:46,RT @Doozy_45: BREXIT: Toyota Boss Says Brexit Uncertainties Are Worrying / #Brexit #StopBrexit https://t.co/5rfz1h1s4t,Twitter for Android,0,17,
931889160415272961,jarlath_molloy,112,2017-11-18 14:17:44,"Just like Britain’s foreign adventures &amp; history, the other side’s view is never explained domestically #Brexit https://t.co/21ltJx6TYE",Twitter for iPhone,0,0,"Southampton, England"
931889085303705600,SallyJHardy,600,2017-11-18 14:17:26,RT @DrDBeel: Having 'balance' in media #brexit debates doesn't reflect balance of scientific/academic expertise on brexit #plenary #RSAWINT…,Twitter for iPhone,0,1,"Seaford, East Sussex, UK"
931889083777011712,Cloudcuckoo1972,196,2017-11-18 14:17:25,"When I hear @CarolineFlintMP saying 'People just wanting them to get on with it', what I hear is an MP more afraid… https://t.co/jB75xQUuYj",Twitter for iPad,0,0,
931889073052057601,Will4Privacy,296,2017-11-18 14:17:23,"RT @WilliamPMack: Despite #ParadisePapers, David Davis' #Brexit impact study idiocy, cabinet resignations, the calamity of #UC, multiple al…",Twitter Web Client,0,37,Ayles
