tweet_id,username,followers,created_at,tweet_text,source,likes,retweets,user_location
932396492081586177,annetteashley61,3659,2017-11-19 23:53:41,RT @Undercover_mole: So much for the Tory Brexit extremists caring about British workers. They won't even talk to the unions. Leaving the E…,Twitter for Android,0,142,"Nord-Pas-de-Calais, France"
932392858006556672,TerryEnga,553,2017-11-19 23:39:15,"RT @BrexitBin: Did you know:
The ""Posted Workers"" directive which both Farage and Corbyn cited as a reason to leave the EU is currently bei…",Twitter for iPhone,0,122,Bracknell UK
932392662946152448,pjr1007,136,2017-11-19 23:38:28,"RT @Nurses4E: Brexit 'potentially catastrophic' for the health service, experts suggest in Lancet journal https://t.co/NOpuPbwylV

#Nurses4…",Twitter for iPhone,0,393,
932391264909217792,Jacob_R92,448,2017-11-19 23:32:55,@Stop_The_EU When did U go from promoting the deportation of low skilled eu workers to their POOR countries because… https://t.co/Fo9V24UyEZ,Twitter for iPhone,1,0,United Kingdom
932391214007111680,stop1984,4577,2017-11-19 23:32:43,"RT @BrexitBin: Did you know:
The ""Posted Workers"" directive which both Farage and Corbyn cited as a reason to leave the EU is currently bei…",Twitter Web Client,0,122,nowhere man.
932390548672884736,Brexit4U,380,2017-11-19 23:30:04,#Brexit National Retraining Scheme must protect workers through Brexit and fourth industrial revolution ...… https://t.co/aUIc8PVxZV,dlvr.it,0,0,United Kingdom
932389909276459008,JonS253,176,2017-11-19 23:27:31,"RT @mrjamesob: James Dyson, who fired at least 590 British workers when he moved a factory abroad in 2002 &amp; is worth almost £8 billion, thi…",Twitter for Android,0,9060,
932389162992525312,Sukraine,1343,2017-11-19 23:24:34,"RT @BrexitBin: Did you know:
The ""Posted Workers"" directive which both Farage and Corbyn cited as a reason to leave the EU is currently bei…",Twitter for Windows,0,122,
932388942267277312,johnnystarling,1305,2017-11-19 23:23:41,"RT @BrexitBin: Did you know:
The ""Posted Workers"" directive which both Farage and Corbyn cited as a reason to leave the EU is currently bei…",Twitter for iPhone,0,122,Tees Valley
932388694677442560,RTCWalker,53,2017-11-19 23:22:42,"Number of EU workers in UK rises by 112,000 since Brexit vote https://t.co/vV1ZTy0FUh",Facebook,0,0,Halifax
932388123354558472,duncanshrubsole,1512,2017-11-19 23:20:26,"@LanceForman @DouglasCarswell &amp;your point is?? Just tell me how Brexit will create jobs, build houses, fund our NHS… https://t.co/S8R8LFHKvY",Twitter Web Client,0,0,
932388048855355392,RJ_Phoenix16,263,2017-11-19 23:20:08,@BrianMyrieSalsa @jon_trickett Didn't you hear? Tories just stopped workers' rights in parliament the other day and… https://t.co/7yjBFb8apW,Twitter Web Client,1,0,"North East, England"
932387031975686144,annetteashley61,3659,2017-11-19 23:16:05,RT @ChrisKeelty: @nickreeves9876 @ChrisRaple they are all at it their own self interest - https://t.co/fgzUQAgfQ2,Twitter for Android,0,2,"Nord-Pas-de-Calais, France"
932386515510091777,FranannigansD,1188,2017-11-19 23:14:02,"RT @BrexitBin: Did you know:
The ""Posted Workers"" directive which both Farage and Corbyn cited as a reason to leave the EU is currently bei…",Twitter for Android,0,122,Wales
932386338866909184,RichardThomas37,1427,2017-11-19 23:13:20,"RT @Nurses4E: Brexit 'potentially catastrophic' for the health service, experts suggest in Lancet journal https://t.co/NOpuPbwylV

#Nurses4…",Twitter for iPhone,0,393,"Sussex,"
932386284093534210,David_Alcock1,109,2017-11-19 23:13:07,"RT @Nurses4E: Brexit 'potentially catastrophic' for the health service, experts suggest in Lancet journal https://t.co/NOpuPbwylV

#Nurses4…",Twitter for Android Tablets,0,393,
932386150811164679,RemainResistant,4118,2017-11-19 23:12:35,"RT @Nurses4E: Brexit 'potentially catastrophic' for the health service, experts suggest in Lancet journal https://t.co/NOpuPbwylV

#Nurses4…",Twitter for Android,0,393,"Manchester, EU"
932384260706750469,Jacob_R92,448,2017-11-19 23:05:05,"Entire Brexit campaign was based on foreigners taking British jobs, now they are asking foreign workers for help to… https://t.co/O5O9hWl99X",Twitter for iPhone,0,0,United Kingdom
