,tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
0,934572402494799873,onlyconnect71,False,93,2017-11-25 23:59:58,RT @Undercover_mole: The 7th YouGov poll that has give Remain a lead and shows that people are regretting the decision to leave the EU. It'…,,,Twitter for iPad,False,False,0,200,Yorkshire
4,934572378574807041,R3Cooper,False,419,2017-11-25 23:59:53,RT @mikegalsworthy: Brexit doesn't work as advertised - it's a bust product. So let's take it back to the shop and say no thanks. https://t…,,,Twitter for iPad,False,False,0,2044,"Coniston, England"
6,934572356340715520,AnthonyMortlock,False,175,2017-11-25 23:59:47,@jeremycorbyn @UKLabour BREXIT.Theres now so much bad news affecting working people along with proof that the leave… https://t.co/NGZQLxl4l4,jeremycorbyn,9.344629529580831e+17,Twitter for iPad,False,False,0,0,
7,934572355233435649,MarkPendleton,False,231,2017-11-25 23:59:47,"RT @chopking: So by my reckoning, we should be ready to see if the democratic will of the people has changed regarding Brexit, 763 days aft…",,,Twitter for iPad,False,False,0,1,"Cardiff, Wales"
18,934572312434827265,C0mfortablyNum6,False,296,2017-11-25 23:59:37,"RT @Far_Right_Watch: .@LPerrins : ""Fact: people voted #Brexit to leave EU to re-establish sovereignty""

Nope. Their was one clearly documen…",,,Twitter Web Client,False,False,0,40,UK
24,934572270265257986,RogerXMathew,False,328,2017-11-25 23:59:27,"RT @RedHotSquirrel: The stench of betrayal...  Leaked papers reveal transitional deal conditional on accepting new EU rules.

https://t.co/…",,,Twitter for iPad,False,False,0,395,
33,934572230331179008,C0mfortablyNum6,False,296,2017-11-25 23:59:17,Where are those 58 #Brexit impact statements @DavidDavisMP?,,,Twitter Web Client,False,False,1,0,UK
39,934572211075256330,LiveEUDebate,False,24506,2017-11-25 23:59:13,"RT @rocciabella: If you voted leave but now, in light of the financial data, wished you had voted remain then join us. You are not alone. T…",,,Live EU Debate,False,False,0,35,UK
44,934572182541303809,iainpdooley,False,888,2017-11-25 23:59:06,"@hiltonholloway But apparently that’s cool. Meanwhile, people are losing their shit over Brexit, so far, only costi… https://t.co/yQNO7B2eci",hiltonholloway,9.345631954942894e+17,Twitter for iPad,False,False,1,0,UK
48,934572163448868865,Pt2537,False,1103,2017-11-25 23:59:01,RT @annaturley: These are the people driving Brexit. How is this ‘taking back control’? Putin's link to Boris and Gove's Brexit 'coup' reve…,,,Twitter for Windows Phone,False,False,0,12,Hampshire
52,934572146864648192,ElTheochari,False,854,2017-11-25 23:58:57,RT @DVATW: I don’t WANT a deal with this mob. WALK AWAY. https://t.co/JQ898g1K71,,,Twitter Web Client,False,False,0,193,Greece Athens  Rhodes
54,934572143345627138,MarkPendleton,False,231,2017-11-25 23:58:57,RT @DavidLammy: Just a reminder that this was 17 days ago. 3 week deadline for publication of Brexit impact studies is next Tuesday. https:…,,,Twitter for iPad,False,False,0,1079,"Cardiff, Wales"
65,934572091189399553,GuyLWilson,False,55,2017-11-25 23:58:44,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for iPhone,False,False,0,709,
77,934572043638595586,jacquep,False,5352,2017-11-25 23:58:33,"@SharonV777 You said about EU money being other people money. Well, UK taxes are other people money including mine.… https://t.co/wfHDcLSHdS",SharonV777,9.345704300353085e+17,Twitter for Android,False,False,1,2,"North Yorkshire, UK"
82,934572036025962497,SamanthaPepys,False,311,2017-11-25 23:58:31,RT @DavidLammy: Just a reminder that this was 17 days ago. 3 week deadline for publication of Brexit impact studies is next Tuesday. https:…,,,Twitter for iPad,False,False,0,1079,
